config,budget,effective_budget,seed,top1,mean_per_class,retrieval_map,n_pairs,wall_s,requested_budget
ego_only,25,25,0,0.05776,0.07153,0.11595,0,6.7,25
ego_only,25,25,1,0.12303,0.0466,0.11615,0,5.5,25
ego_only,25,25,2,0.06302,0.07257,0.11729,0,5.6,25
ego_only,25,25,3,0.06227,0.06824,0.11682,0,5.4,25
ego_only,25,25,4,0.05701,0.05062,0.11657,0,5.4,25
ego_only,50,50,0,0.06977,0.07856,0.11771,0,5.7,50
ego_only,50,50,1,0.04501,0.0317,0.11867,0,6.2,50
ego_only,50,50,2,0.05551,0.07184,0.11815,0,6.3,50
ego_only,50,50,3,0.05326,0.04109,0.11787,0,6.4,50
ego_only,50,50,4,0.07277,0.06422,0.11636,0,6.2,50
ego_only,100,100,0,0.04951,0.05305,0.11844,0,7.4,100
ego_only,100,100,1,0.05776,0.08602,0.11804,0,7.2,100
ego_only,100,100,2,0.08777,0.07715,0.11853,0,7.4,100
ego_only,100,100,3,0.04951,0.06611,0.11753,0,7.3,100
ego_only,100,100,4,0.06527,0.07995,0.1178,0,7.2,100
ego_only,200,200,0,0.07502,0.08521,0.11763,0,7.3,200
ego_only,200,200,1,0.05476,0.07452,0.11814,0,7.6,200
ego_only,200,200,2,0.06302,0.09186,0.1172,0,7.6,200
ego_only,200,200,3,0.06377,0.08779,0.11738,0,8.1,200
ego_only,200,200,4,0.08402,0.08832,0.11653,0,7.6,200
ego_only,400,400,0,0.10503,0.07873,0.11759,0,7.5,400
ego_only,400,400,1,0.07502,0.09652,0.11781,0,7.7,400
ego_only,400,400,2,0.06227,0.06579,0.11702,0,7.6,400
ego_only,400,400,3,0.09752,0.0779,0.11856,0,7.6,400
ego_only,400,400,4,0.06752,0.07829,0.11719,0,7.5,400
ego_only,800,800,0,0.09302,0.07466,0.11766,0,7.6,800
ego_only,800,800,1,0.10953,0.08278,0.11997,0,7.6,800
ego_only,800,800,2,0.11403,0.08372,0.12039,0,8.4,800
ego_only,800,800,3,0.11028,0.08323,0.11856,0,7.6,800
ego_only,800,800,4,0.10578,0.09003,0.11712,0,7.6,800
ego_only,2983,2983,0,0.17104,0.08189,0.12411,0,7.5,-1
ego_only,2983,2983,1,0.18005,0.08261,0.1265,0,7.6,-1
ego_only,2983,2983,2,0.16954,0.08182,0.12409,0,8.6,-1
ego_only,2983,2983,3,0.19655,0.08564,0.12481,0,7.8,-1
ego_only,2983,2983,4,0.17479,0.07454,0.12496,0,7.7,-1
ego_exo,25,25,0,0.05401,0.07436,0.11718,2983,19.2,25
ego_exo,25,25,1,0.08177,0.05106,0.11611,2983,20.3,25
ego_exo,25,25,2,0.05776,0.03969,0.11625,2983,18.8,25
ego_exo,25,25,3,0.04126,0.05544,0.11736,2983,20.3,25
ego_exo,25,25,4,0.05401,0.05932,0.11714,2983,20.5,25
ego_exo,50,50,0,0.04801,0.05618,0.11636,2983,23.5,50
ego_exo,50,50,1,0.04876,0.03893,0.11764,2983,54.9,50
ego_exo,50,50,2,0.06377,0.0663,0.11759,2983,50.9,50
ego_exo,50,50,3,0.06677,0.0402,0.11711,2983,22.3,50
ego_exo,50,50,4,0.05851,0.05828,0.11671,2983,21.4,50
ego_exo,100,100,0,0.05101,0.06716,0.11785,2983,24.1,100
ego_exo,100,100,1,0.05626,0.06624,0.11642,2983,57.3,100
ego_exo,100,100,2,0.07352,0.07007,0.11768,2983,55.1,100
ego_exo,100,100,3,0.05851,0.06773,0.11791,2983,61.1,100
ego_exo,100,100,4,0.05176,0.07626,0.11679,2983,55.3,100
ego_exo,200,200,0,0.10278,0.10305,0.11896,2983,53.4,200
ego_exo,200,200,1,0.08477,0.07998,0.11922,2983,50.8,200
ego_exo,200,200,2,0.07502,0.07917,0.11768,2983,63.3,200
ego_exo,200,200,3,0.05326,0.10588,0.11667,2983,64.4,200
ego_exo,200,200,4,0.08702,0.09755,0.11739,2983,57.1,200
ego_exo,400,400,0,0.12153,0.09716,0.1197,2983,62.0,400
ego_exo,400,400,1,0.07577,0.07495,0.1185,2983,24.4,400
ego_exo,400,400,2,0.07502,0.06986,0.11937,2983,62.0,400
ego_exo,400,400,3,0.11328,0.1005,0.11894,2983,55.5,400
ego_exo,400,400,4,0.08552,0.08149,0.11866,2983,66.2,400
ego_exo,800,800,0,0.09077,0.07043,0.11921,2983,25.8,800
ego_exo,800,800,1,0.11328,0.07914,0.12034,2983,77.2,800
ego_exo,800,800,2,0.12003,0.0977,0.12096,2983,53.6,800
ego_exo,800,800,3,0.11553,0.08751,0.11974,2983,27.8,800
ego_exo,800,800,4,0.10428,0.0744,0.11923,2983,78.9,800
ego_exo,2983,2983,0,0.1883,0.08019,0.12551,2983,53.2,-1
ego_exo,2983,2983,1,0.17404,0.07951,0.12521,2983,62.2,-1
ego_exo,2983,2983,2,0.18605,0.07972,0.12507,2983,32.1,-1
ego_exo,2983,2983,3,0.17629,0.07577,0.12634,2983,52.9,-1
ego_exo,2983,2983,4,0.17104,0.08568,0.12462,2983,55.4,-1
ego_ego,25,25,0,0.03301,0.04605,0.11883,2983,19.2,25
ego_ego,25,25,1,0.07652,0.04914,0.11838,2983,19.0,25
ego_ego,25,25,2,0.05701,0.04019,0.11767,2983,19.0,25
ego_ego,25,25,3,0.07502,0.0803,0.11789,2983,18.7,25
ego_ego,25,25,4,0.05401,0.05912,0.12001,2983,18.8,25
ego_ego,50,50,0,0.04951,0.06058,0.11884,2983,21.2,50
ego_ego,50,50,1,0.04126,0.03289,0.11954,2983,20.7,50
ego_ego,50,50,2,0.05251,0.06827,0.11892,2983,20.2,50
ego_ego,50,50,3,0.06077,0.04681,0.11931,2983,20.2,50
ego_ego,50,50,4,0.05476,0.06031,0.11851,2983,19.9,50
ego_ego,100,100,0,0.05026,0.0568,0.11906,2983,26.5,100
ego_ego,100,100,1,0.05851,0.06974,0.11929,2983,23.8,100
ego_ego,100,100,2,0.08552,0.08935,0.11999,2983,22.5,100
ego_ego,100,100,3,0.04951,0.0626,0.11877,2983,22.4,100
ego_ego,100,100,4,0.06977,0.08744,0.12093,2983,22.6,100
ego_ego,200,200,0,0.08702,0.12227,0.11943,2983,27.9,200
ego_ego,200,200,1,0.05551,0.06002,0.12097,2983,27.8,200
ego_ego,200,200,2,0.06677,0.07907,0.1196,2983,23.4,200
ego_ego,200,200,3,0.05851,0.10254,0.12011,2983,21.0,200
ego_ego,200,200,4,0.09977,0.08169,0.1205,2983,21.6,200
ego_ego,400,400,0,0.12378,0.12511,0.11938,2983,23.2,400
ego_ego,400,400,1,0.07877,0.08568,0.12019,2983,26.9,400
ego_ego,400,400,2,0.07727,0.07401,0.12037,2983,30.2,400
ego_ego,400,400,3,0.07802,0.07718,0.12147,2983,27.2,400
ego_ego,400,400,4,0.07427,0.07755,0.1205,2983,25.1,400
ego_ego,800,800,0,0.10953,0.08324,0.12102,2983,25.7,800
ego_ego,800,800,1,0.12678,0.09729,0.12226,2983,54.3,800
ego_ego,800,800,2,0.12978,0.09564,0.12146,2983,26.7,800
ego_ego,800,800,3,0.10953,0.07449,0.12071,2983,25.4,800
ego_ego,800,800,4,0.11403,0.10154,0.12147,2983,56.6,800
ego_ego,2983,2983,0,0.17554,0.08532,0.12484,2983,26.5,-1
ego_ego,2983,2983,1,0.1928,0.08148,0.12632,2983,31.3,-1
