config,budget,effective_budget,seed,top1,mean_per_class,retrieval_map,n_pairs,wall_s,requested_budget
ego_only,25,25,0,0.04951,0.06499,0.12742,0,6.6,25
ego_only,25,25,1,0.11553,0.08604,0.12911,0,5.5,25
ego_only,25,25,2,0.04876,0.05656,0.13176,0,5.4,25
ego_only,25,25,3,0.10578,0.06903,0.12965,0,5.7,25
ego_only,25,25,4,0.06527,0.06529,0.13557,0,6.3,25
ego_only,50,50,0,0.07877,0.08417,0.13258,0,5.9,50
ego_only,50,50,1,0.07277,0.08787,0.13476,0,5.8,50
ego_only,50,50,2,0.07202,0.07007,0.12602,0,6.1,50
ego_only,50,50,3,0.09752,0.07957,0.12758,0,6.1,50
ego_only,50,50,4,0.09077,0.06619,0.13848,0,6.1,50
ego_only,100,100,0,0.08627,0.10544,0.13362,0,6.0,100
ego_only,100,100,1,0.11403,0.11546,0.13706,0,5.5,100
ego_only,100,100,2,0.08177,0.09885,0.13152,0,5.7,100
ego_only,100,100,3,0.09452,0.09214,0.13354,0,5.9,100
ego_only,100,100,4,0.07802,0.07493,0.13027,0,5.6,100
ego_only,200,200,0,0.11328,0.1184,0.13939,0,5.5,200
ego_only,200,200,1,0.11928,0.12702,0.13829,0,5.5,200
ego_only,200,200,2,0.09452,0.11774,0.1342,0,5.5,200
ego_only,200,200,3,0.13953,0.14047,0.13641,0,5.5,200
ego_only,200,200,4,0.12153,0.09359,0.12923,0,5.5,200
ego_only,400,400,0,0.17704,0.12973,0.14992,0,5.5,400
ego_only,400,400,1,0.16054,0.13954,0.14106,0,5.5,400
ego_only,400,400,2,0.15004,0.12811,0.1428,0,5.5,400
ego_only,400,400,3,0.16354,0.11209,0.14392,0,5.5,400
ego_only,400,400,4,0.13128,0.1161,0.13867,0,5.5,400
ego_only,800,800,0,0.14704,0.12145,0.14524,0,5.5,800
ego_only,800,800,1,0.16654,0.1063,0.14304,0,5.4,800
ego_only,800,800,2,0.1808,0.13384,0.14474,0,5.5,800
ego_only,800,800,3,0.16879,0.13645,0.13855,0,5.5,800
ego_only,800,800,4,0.1808,0.16039,0.14261,0,5.4,800
ego_only,2983,2983,0,0.27457,0.14561,0.17632,0,5.6,-1
ego_only,2983,2983,1,0.27382,0.1423,0.17207,0,5.7,-1
ego_only,2983,2983,2,0.27607,0.14888,0.17131,0,6.0,-1
ego_only,2983,2983,3,0.26707,0.13573,0.17628,0,5.4,-1
ego_only,2983,2983,4,0.26332,0.14523,0.16966,0,5.4,-1
ego_exo,25,25,0,0.04876,0.07001,0.15007,2983,14.8,25
ego_exo,25,25,1,0.09452,0.06411,0.15039,2983,15.0,25
ego_exo,25,25,2,0.06227,0.05948,0.14824,2983,15.0,25
ego_exo,25,25,3,0.08702,0.07139,0.15377,2983,14.8,25
ego_exo,25,25,4,0.06377,0.09784,0.15212,2983,16.1,25
ego_exo,50,50,0,0.09752,0.08605,0.15112,2983,18.6,50
ego_exo,50,50,1,0.08402,0.09131,0.14875,2983,15.5,50
ego_exo,50,50,2,0.09452,0.07301,0.14971,2983,16.2,50
ego_exo,50,50,3,0.09827,0.1029,0.1466,2983,17.3,50
ego_exo,50,50,4,0.07202,0.0848,0.14887,2983,15.3,50
ego_exo,100,100,0,0.09527,0.11207,0.14853,2983,16.2,100
ego_exo,100,100,1,0.11028,0.1075,0.14742,2983,16.7,100
ego_exo,100,100,2,0.10953,0.11336,0.15189,2983,15.6,100
ego_exo,100,100,3,0.10878,0.1087,0.14594,2983,15.6,100
ego_exo,100,100,4,0.07802,0.08227,0.15115,2983,15.6,100
ego_exo,200,200,0,0.11403,0.12425,0.14802,2983,16.7,200
ego_exo,200,200,1,0.13053,0.12132,0.15221,2983,15.1,200
ego_exo,200,200,2,0.09602,0.10295,0.14281,2983,15.3,200
ego_exo,200,200,3,0.12978,0.17324,0.15134,2983,15.3,200
ego_exo,200,200,4,0.11178,0.08379,0.14944,2983,14.8,200
ego_exo,400,400,0,0.14929,0.1329,0.14825,2983,15.7,400
ego_exo,400,400,1,0.15454,0.13463,0.14942,2983,16.0,400
ego_exo,400,400,2,0.15604,0.1529,0.14939,2983,15.5,400
ego_exo,400,400,3,0.14329,0.10233,0.14981,2983,15.8,400
ego_exo,400,400,4,0.13053,0.11794,0.15193,2983,15.7,400
ego_exo,800,800,0,0.14929,0.11099,0.15166,2983,15.9,800
ego_exo,800,800,1,0.17029,0.1224,0.15183,2983,15.8,800
ego_exo,800,800,2,0.18605,0.15304,0.15443,2983,17.8,800
ego_exo,800,800,3,0.16279,0.13239,0.15038,2983,16.0,800
ego_exo,800,800,4,0.17779,0.13834,0.15238,2983,15.8,800
ego_exo,2983,2983,0,0.26407,0.14469,0.17744,2983,15.9,-1
ego_exo,2983,2983,1,0.26482,0.12966,0.17934,2983,15.1,-1
ego_exo,2983,2983,2,0.27907,0.16001,0.17949,2983,15.3,-1
ego_exo,2983,2983,3,0.28132,0.1647,0.17921,2983,15.1,-1
ego_exo,2983,2983,4,0.27007,0.14457,0.17548,2983,14.9,-1
ego_ego,25,25,0,0.06227,0.07348,0.13153,2983,12.8,25
ego_ego,25,25,1,0.10053,0.08722,0.12996,2983,13.2,25
ego_ego,25,25,2,0.04951,0.05255,0.13238,2983,12.6,25
ego_ego,25,25,3,0.10128,0.08675,0.131,2983,13.6,25
ego_ego,25,25,4,0.06827,0.06357,0.13451,2983,13.0,25
ego_ego,50,50,0,0.08327,0.07943,0.1348,2983,13.7,50
ego_ego,50,50,1,0.08102,0.09088,0.13488,2983,13.7,50
ego_ego,50,50,2,0.08327,0.07121,0.12774,2983,13.7,50
ego_ego,50,50,3,0.07802,0.05154,0.12868,2983,13.7,50
ego_ego,50,50,4,0.08327,0.05629,0.13624,2983,13.7,50
ego_ego,100,100,0,0.09002,0.12743,0.13348,2983,14.2,100
ego_ego,100,100,1,0.10128,0.09038,0.13724,2983,14.1,100
ego_ego,100,100,2,0.09152,0.10247,0.13037,2983,14.3,100
ego_ego,100,100,3,0.09227,0.11517,0.13401,2983,14.4,100
ego_ego,100,100,4,0.08027,0.08237,0.12906,2983,14.4,100
ego_ego,200,200,0,0.11178,0.13183,0.13954,2983,14.4,200
ego_ego,200,200,1,0.11103,0.10595,0.13602,2983,14.6,200
ego_ego,200,200,2,0.09227,0.12855,0.13442,2983,15.7,200
ego_ego,200,200,3,0.14029,0.14376,0.13919,2983,14.5,200
ego_ego,200,200,4,0.12753,0.09882,0.13136,2983,15.7,200
